Index,X,Y,Z
1376,-4.30368,0.23566,-0.88565
1370,-4.01423,0.273829,-0.861
1647,-3.72423,0.358832,-0.842
1692,-3.43423,0.442832,-0.824
1702,-3.24023,0.468833,-0.889
1707,-2.93123,0.543834,-1.026
177,-2.55623,0.569831,-1.208
2486,-1.98923,0.570834,-1.42
2461,-1.02223,0.528831,-1.666
2445,-0.506233,0.475829,-1.732
2453,-0.0992315,0.531833,-1.735
1946,0.557766,0.675834,-1.774
1917,0.723769,0.718833,-1.811
2318,0.893767,0.756831,-1.807
2319,1.30677,0.88383,-1.755
2326,1.43877,0.997828,-1.765
2244,1.55077,1.08884,-1.745
2242,1.75477,1.29084,-1.695
2221,1.91377,1.41083,-1.639
2199,2.12977,1.51283,-1.531
2131,2.15776,1.45283,-1.385
2121,1.97177,1.27783,-1.308
2429,1.81977,1.12483,-1.297
2073,1.64277,0.896831,-1.32
2152,1.51977,0.825835,-1.319
2055,1.35277,0.748832,-1.346
2054,0.975767,0.552833,-1.288
1878,0.804768,0.50283,-1.265
1873,0.671765,0.475829,-1.274
1812,0.104767,0.308829,-1.198
1815,-0.269233,0.196834,-1.085
1820,0.380766,0.121833,-1.125
2554,1.04276,0.295829,-1.175
2556,1.17677,0.325828,-1.231
2730,1.31277,0.353831,-1.222
2842,2.01276,0.686831,-1.222
2742,2.15577,0.785834,-1.261
2934,2.30577,0.836833,-1.261
2914,2.50777,1.09683,-1.213
2916,2.65776,1.23283,-1.191
3039,2.87477,1.36283,-1.09
3037,2.89577,1.32983,-0.931
3078,2.70577,1.15683,-0.827
3019,2.56077,1.01383,-0.814
2985,2.35377,0.750834,-0.795
2781,2.20577,0.693835,-0.773
2785,2.09177,0.600833,-0.801
2701,1.45076,0.26583,-0.667
2628,1.32277,0.232833,-0.625
2535,1.17777,0.210834,-0.621
2530,0.591767,0.0118322,-0.451
1771,0.299767,-0.20717,-0.392
751,0.670767,-0.154168,-0.381
749,1.42977,0.0558309,-0.439
767,1.58277,0.145827,-0.474
849,1.73477,0.236835,-0.518
853,2.39577,0.689834,-0.523
863,2.51177,0.820834,-0.569
917,2.64177,0.890834,-0.575
925,2.84777,1.10883,-0.566
941,3.00677,1.24284,-0.537
1120,3.22877,1.38083,-0.473
1118,3.24977,1.37083,-0.337
1152,3.05577,1.21983,-0.225
1153,2.91177,1.08083,-0.166
980,2.71377,0.861831,-0.118
982,2.58777,0.791831,-0.0929995
884,2.47177,0.663829,-0.112
880,1.83477,0.212829,0.0560002
780,1.67677,0.122832,0.0570002
719,1.51277,0.0488348,0.0740004
1280,0.741768,-0.17217,0.292
3184,0.347767,-0.242169,0.421
3195,0.624768,-0.0701685,0.43
3208,1.34576,0.0208311,0.383
3223,1.51577,0.0708341,0.354
3286,1.68177,0.124831,0.303
3291,2.26877,0.438834,0.297
3316,2.37877,0.565833,0.26
3519,2.50877,0.67483,0.272
3500,2.75277,0.841834,0.264
3501,3.01577,1.01583,0.273
3549,3.25277,1.12383,0.355
3547,3.28976,1.09983,0.526
3640,3.09977,0.960834,0.658
3618,2.84977,0.778831,0.712
3577,2.61377,0.605834,0.761
3411,2.49277,0.490832,0.795
3337,2.37077,0.371833,0.77
3333,1.78477,0.0708341,0.908
3236,1.61677,0.0178327,0.908
3237,1.45377,-0.0371714,0.921
3746,0.620768,-0.118165,1.147
3162,0.217766,-0.108171,1.226
3155,-0.486232,-0.0721674,1.379
7,-0.724231,0.267833,1.419
3,-0.918234,0.552833,1.531
3811,-0.837234,0.656833,1.566
27,-0.201235,1.02983,1.625
31,-0.037235,1.09883,1.653
473,0.117768,1.12483,1.671
385,0.435766,1.15884,1.648
536,0.899769,1.34483,1.575
529,1.20377,1.41383,1.658
524,1.45877,1.58883,1.805
505,1.40777,1.81583,1.854
504,1.08577,1.92383,1.771
441,0.868767,1.89883,1.771
294,0.272766,1.76083,1.799
298,-0.0322339,1.67083,1.797
315,-0.184234,1.63883,1.777
271,-0.362232,1.62783,1.766
632,-0.927232,1.60983,1.865
53,-2.16123,1.29183,1.686
56,-2.84624,1.02983,1.502
90,-3.16823,0.906833,1.385
100,-3.40323,0.809829,1.37
78,-3.78324,0.71683,1.31
1412,-4.16323,0.623836,1.251
1418,-4.37774,0.569711,1.22468
